Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
40,1.0,0.0,0.0,955.0,20.0,29.0,1845.0,0.1,11.525599999999997,0.0,0.0,259.29848861694336,,,,,,,,,,,,,,,,,,,,,3.4122145842467755,3.8848533023220946,11.449533394312077,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,58.0,1.0,58.0,1903.0,0.1,37.44579999999999,0.0,0.0,347.23603677749634,,,,,,,,,,,,,,,,,,,,,14.73488072505436,12.355749555803124,36.66446919186138,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,149.0,2.0,91.0,1994.0,0.1,56.32519999999994,0.0,0.0,355.7871515750885,,,,,,,,,,,,,,,,,,,,,24.90689900294862,17.07728989379498,54.16695192763502,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,193.0,3.0,44.0,2038.0,0.1,17.827000000000005,0.0,0.0,360.1025381088257,,,,,,,,,,,,,,,,,,,,,5.139685291142265,5.87425676371013,17.6361084279372,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,235.0,4.0,42.0,2080.0,0.1,16.727200000000003,0.0,0.0,364.2627000808716,,,,,,,,,,,,,,,,,,,,,4.928472601875504,5.556356259937165,16.55329418579864,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,322.0,5.0,87.0,2167.0,0.1,59.20559999999991,0.0,0.0,372.59166526794434,,,,,,,,,,,,,,,,,,,,,25.462309634004576,18.480401583143916,57.104531019349295,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,365.0,6.0,43.0,2210.0,0.1,23.94400000000001,0.0,0.0,376.87487387657166,,,,,,,,,,,,,,,,,,,,,9.637364519180496,7.779061359543676,23.57672319534273,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,397.0,7.0,32.0,2242.0,0.1,13.7058,0.0,0.0,380.161771774292,,,,,,,,,,,,,,,,,,,,,4.138300908469581,4.608969425253417,13.600561894155389,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,464.0,8.0,67.0,2309.0,0.1,28.10619999999999,0.0,0.0,386.4525020122528,,,,,,,,,,,,,,,,,,,,,9.387714928620028,8.438660752651415,27.532260087697768,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,527.0,9.0,63.0,2372.0,0.1,34.944599999999966,0.0,0.0,392.46220302581787,,,,,,,,,,,,,,,,,,,,,13.443280381275226,10.68197476023442,34.16597111223303,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
